Legislative District,Total Population 2010,Population of One Race 2010,White Alone 2010,Black or African American Alone 2010,American Indian and Alaska Native Alone 2010,Asian Alone 2010,Native Hawaiian and Other Pacific Islander Alone 2010,Some Other Race Alone 2010,Population of Two or More Races 2010,Hispanic or Latino (of Any Race) 2010,Not Hispanic or Latino 2010,Population of One Race Not Hispanic or Latino 2010,White Alone Not Hispanic or Latino 2010,Black or African American Alone Not Hispanic or Latino 2010,American Indian and Alaska Native Alone Not Hispanic or Latino 2010,Asian Alone Not Hispanic or Latino 2010,Native Hawaiian and Other Pacific Islander Alone Not Hispanic or Latino 2010,Some Other Race Alone Not Hispanic or Latino 2010,Population of Two or More Races Not Hispanic or Latino 2010,Total Population Over 18 2010,Population of One Race Over 18 2010,White Alone Over 18 2010,Black or African American Alone Over 18 2010,American Indian and Alaska Native Alone Over 18 2010,Asian Alone Over 18 2010,Native Hawaiian and Other Pacific Islander Alone Over 18 2010,Some Other Race Alone Over 18 2010,Population of Two or More Races Over 18 2010,Hispanic or Latino (of Any Race) Over 18 2010,Not Hispanic or Latino Over 18 2010,Population of One Race Not Hispanic or Latino Over 18 2010,White Alone Not Hispanic or Latino Over 18 2010,Black or African American Alone Not Hispanic or Latino Over 18 2010,American Indian and Alaska Native Alone Not Hispanic or Latino Over 18 2010,Asian Alone Not Hispanic or Latino Over 18 2010,Native Hawaiian and Other Pacific Islander Alone Not Hispanic or Latino Over 18 2010,Some Other Race Alone Not Hispanic or Latino Over 18 2010,Population of Two or More Races Not Hispanic or Latino Over 18 2010
Washington State,6724540,6411614,5196362,240042,103869,481067,40475,349799,312926,755790,5968750,5721397,4876804,229603,88735,475634,38783,11838,247353,5143186,4984202,4113056,174258,73523,377550,27608,218207,158984,456355,4686831,4557277,3916304,168177,64574,373973,26642,7607,129554
31,137214,131584,117744,2072,3064,4177,715,3812,5630,9615,127599,122963,113352,1951,2754,4062,693,151,4636,102346,99633,90175,1422,1997,3206,488,2345,2713,5594,96752,94463,87551,1369,1838,3139,474,92,2289
32,137225,130264,96732,7011,1236,19614,581,5090,6961,11852,125373,119549,91377,6818,1026,19476,567,285,5824,110028,106350,80434,5030,976,15910,471,3529,3678,7829,102199,99096,76908,4907,825,15806,464,186,3103
33,137237,128921,76183,15672,1769,18059,3563,13675,8316,25391,111846,105749,67643,15199,1275,17813,3491,328,6097,105285,100958,63622,11139,1309,13868,2289,8731,4327,15898,89387,86183,58131,10853,1010,13708,2256,225,3204
34,137208,129823,96382,8523,1557,14499,1214,7648,7385,16287,120921,115232,90100,8187,1118,14363,1189,275,5689,109087,105126,81022,5606,1168,11365,830,5135,3961,10707,98380,95298,76752,5412,889,11267,811,167,3082
35,137219,131240,119040,2032,3147,3220,638,3163,5979,8888,128331,123382,114882,1921,2662,3130,603,184,4949,107512,104358,95580,1553,2236,2523,469,1997,3154,5327,102185,99476,92993,1486,1956,2472,443,126,2709
36,137247,131184,114573,3725,1007,9529,298,2052,6063,7213,130034,124791,110317,3592,865,9422,289,306,5243,118960,114914,100222,3189,890,8647,257,1709,4046,5807,113153,109676,96809,3072,771,8558,248,218,3477
37,137192,129154,54545,31408,1174,36167,903,4957,8038,11172,126020,119296,50478,30819,950,35880,844,325,6724,110606,105809,47452,23510,985,29606,657,3599,4797,7934,102672,98622,44430,23123,820,29404,622,223,4050
38,137242,130047,105267,4140,4619,8138,839,7044,7195,16765,120477,115061,98081,3840,4123,7992,821,204,5416,104997,101443,84048,3077,3124,6255,528,4411,3554,9995,95002,92227,79656,2902,2864,6163,515,127,2775
39,137201,132385,120439,1414,1982,2704,353,5493,4816,11610,125591,121711,115478,1338,1739,2657,305,194,3880,102599,100182,92016,1102,1376,2068,255,3365,2417,6759,95840,93790,89096,1052,1253,2031,231,127,2050
40,137259,132161,117134,1303,1533,3807,255,8129,5098,17166,120093,116254,109779,1163,1131,3722,217,242,3839,109878,106838,96568,973,1109,3154,185,4849,3040,10196,99682,97275,92066,889,885,3102,163,170,2407
